date,list,name,ticker,close,rs63,r21,rsi,pctB,atrPct,vol,dHigh20,taken,result_R,note
2026-06-19,squeeze,Sandvik,SAND.ST,406.70,10.96,9.80,68.11,1.13,2.67,2.16,0.00
2026-06-19,bounce,Autoliv,ALIV-SDB.ST,1126.00,11.49,3.40,37.96,-0.02,2.68,0.77,-8.83
2026-06-19,weakest,Electrolux,ELUX-B.ST,29.00,-58.09,7.07,49.60,0.39,6.60,1.30,-13.15
2026-06-19,weakest,Hexagon,HEXA-B.ST,81.56,-23.22,-5.40,40.71,0.31,3.37,1.87,-8.95
2026-06-19,weakest,Tele2,TEL2-B.ST,173.95,-14.40,-6.63,50.99,0.25,2.04,1.17,-7.00
2026-06-22,momentum,SSAB,SSAB-A.ST,94.50,29.13,6.80,50.25,0.30,3.07,0.25,-8.52
2026-06-22,momentum,ABB,ABB.ST,1043.50,25.38,6.76,63.16,1.00,2.50,0.29,0.00
2026-06-22,momentum,Epiroc,EPI-A.ST,274.00,10.63,5.26,57.20,0.65,2.57,0.25,-3.62
2026-06-22,momentum,Sandvik,SAND.ST,399.70,6.47,6.19,68.27,0.90,2.69,0.22,-1.72
2026-06-22,momentum,Autoliv,ALIV-SDB.ST,1131.00,12.42,1.71,41.18,0.05,2.58,0.17,-8.42
2026-06-22,squeeze,Investor,INVE-B.ST,390.80,6.50,3.80,70.28,1.04,1.54,0.33,-0.09
2026-06-22,bounce,Ericsson,ERIC-B.ST,110.45,-4.11,-10.42,31.74,0.20,3.51,0.29,-14.01
2026-06-22,weakest,Electrolux,ELUX-B.ST,28.67,-59.52,6.79,48.71,0.33,6.61,0.24,-14.14
2026-06-22,weakest,Saab,SAAB-B.ST,504.90,-32.68,-4.23,34.97,0.20,3.78,0.46,-13.69
2026-06-22,weakest,Hexagon,HEXA-B.ST,81.24,-22.35,-1.86,36.10,0.30,3.19,0.18,-9.31
2026-06-23,momentum,SSAB,SSAB-A.ST,94.28,25.67,6.56,49.70,0.28,3.08,0.15,-8.73
2026-06-23,momentum,ABB,ABB.ST,1026.50,20.10,5.02,59.12,0.86,2.57,0.36,-1.53
2026-06-23,momentum,Atlas Copco,ATCO-A.ST,190.35,3.92,7.72,73.00,0.81,2.76,0.24,-3.08
2026-06-23,momentum,Autoliv,ALIV-SDB.ST,1133.00,9.48,1.89,41.67,0.07,2.60,0.07,-8.26
2026-06-23,momentum,SKF,SKF-B.ST,246.00,6.24,2.67,46.70,0.61,2.43,0.31,-2.84
2026-06-23,squeeze,Investor,INVE-B.ST,387.90,5.18,1.93,58.15,0.82,1.62,0.32,-1.49
2026-06-23,bounce,Ericsson,ERIC-B.ST,111.25,-6.53,-9.77,33.33,0.22,3.55,0.18,-13.39
2026-06-23,weakest,Electrolux,ELUX-B.ST,27.13,-63.33,-2.04,46.40,0.12,6.90,0.21,-18.75
2026-06-23,weakest,Saab,SAAB-B.ST,505.40,-33.05,-4.62,39.66,0.24,3.63,0.18,-13.61
2026-06-23,weakest,NIBE,NIBE-B.ST,35.04,-1.54,-13.16,36.17,0.07,2.53,0.14,-11.92
